age,confirmed_cases,death_cases,date,date_dt
10s,3790192,22.0,2023-02-27,2023-02-27
20s,4441934,79.0,2023-02-27,2023-02-27
30s,4464922,158.0,2023-02-27,2023-02-27
40s,4649378,459.0,2023-02-27,2023-02-27
50s,3985715,1386.0,2023-02-27,2023-02-27
60s,3331898,3857.0,2023-02-27,2023-02-27
70s,1703856,7708.0,2023-02-27,2023-02-27
over_80s,1038482,20255.0,2023-02-27,2023-02-27
under_10s,3095771,37.0,2023-02-25,2023-02-25
10s,3789072,22.0,2023-02-25,2023-02-25
20s,4440083,79.0,2023-02-25,2023-02-25
30s,4462892,158.0,2023-02-25,2023-02-25
40s,4647338,459.0,2023-02-25,2023-02-25
50s,3983868,1386.0,2023-02-25,2023-02-25
60s,3330102,3852.0,2023-02-25,2023-02-25
70s,1702828,7701.0,2023-02-25,2023-02-25
over_80s,1037712,20246.0,2023-02-25,2023-02-25
under_10s,3095275,37.0,2023-02-24,2023-02-24
10s,3788270,22.0,2023-02-24,2023-02-24
20s,4438644,79.0,2023-02-24,2023-02-24
30s,4461372,158.0,2023-02-24,2023-02-24
40s,4645971,459.0,2023-02-24,2023-02-24
50s,3982444,1385.0,2023-02-24,2023-02-24
60s,3328764,3850.0,2023-02-24,2023-02-24
70s,1701938,7697.0,2023-02-24,2023-02-24
over_80s,1037075,20242.0,2023-02-24,2023-02-24
under_10s,3094729,37.0,2023-02-23,2023-02-23
10s,3787445,22.0,2023-02-23,2023-02-23
20s,4437122,79.0,2023-02-23,2023-02-23
30s,4459799,158.0,2023-02-23,2023-02-23
40s,4644488,459.0,2023-02-23,2023-02-23
50s,3981091,1384.0,2023-02-23,2023-02-23
60s,3327413,3849.0,2023-02-23,2023-02-23
70s,1701112,7693.0,2023-02-23,2023-02-23
over_80s,1036503,20228.0,2023-02-23,2023-02-23
under_10s,3094103,37.0,2023-02-22,2023-02-22
10s,3786493,22.0,2023-02-22,2023-02-22
20s,4435504,79.0,2023-02-22,2023-02-22
30s,4458027,158.0,2023-02-22,2023-02-22
40s,4642886,459.0,2023-02-22,2023-02-22
50s,3979679,1384.0,2023-02-22,2023-02-22
60s,3326012,3848.0,2023-02-22,2023-02-22
70s,1700224,7685.0,2023-02-22,2023-02-22
over_80s,1035929,20215.0,2023-02-22,2023-02-22
under_10s,3093419,37.0,2023-02-21,2023-02-21
10s,3785480,22.0,2023-02-21,2023-02-21
20s,4433563,79.0,2023-02-21,2023-02-21
30s,4455982,158.0,2023-02-21,2023-02-21
40s,4640941,459.0,2023-02-21,2023-02-21
50s,3977936,1383.0,2023-02-21,2023-02-21
60s,3324271,3847.0,2023-02-21,2023-02-21
70s,1699123,7683.0,2023-02-21,2023-02-21
over_80s,1035060,20205.0,2023-02-21,2023-02-21
under_10s,3092787,37.0,2023-02-20,2023-02-20
10s,3784556,22.0,2023-02-20,2023-02-20
20s,4431857,79.0,2023-02-20,2023-02-20
30s,4453937,158.0,2023-02-20,2023-02-20
40s,4639041,459.0,2023-02-20,2023-02-20
50s,3976178,1381.0,2023-02-20,2023-02-20
60s,3322872,3847.0,2023-02-20,2023-02-20
70s,1698161,7679.0,2023-02-20,2023-02-20
over_80s,1034506,20203.0,2023-02-20,2023-02-20
under_10s,3092463,37.0,2023-02-19,2023-02-19
10s,3784161,22.0,2023-02-19,2023-02-19
20s,4431267,79.0,2023-02-19,2023-02-19
30s,4453144,158.0,2023-02-19,2023-02-19
40s,4638363,459.0,2023-02-19,2023-02-19
50s,3975636,1379.0,2023-02-19,2023-02-19
60s,3322351,3846.0,2023-02-19,2023-02-19
70s,1697887,7677.0,2023-02-19,2023-02-19
over_80s,1034299,20199.0,2023-02-19,2023-02-19
under_10s,3091865,37.0,2023-02-18,2023-02-18
10s,3783320,22.0,2023-02-18,2023-02-18
20s,4429880,79.0,2023-02-18,2023-02-18
30s,4451660,158.0,2023-02-18,2023-02-18
40s,4636848,459.0,2023-02-18,2023-02-18
50s,3974059,1379.0,2023-02-18,2023-02-18
60s,3320953,3845.0,2023-02-18,2023-02-18
70s,1696976,7672.0,2023-02-18,2023-02-18
over_80s,1033736,20193.0,2023-02-18,2023-02-18
under_10s,3091192,37.0,2023-02-17,2023-02-17
10s,3782373,22.0,2023-02-17,2023-02-17
20s,4428481,79.0,2023-02-17,2023-02-17
30s,4450052,157.0,2023-02-17,2023-02-17
40s,4635272,459.0,2023-02-17,2023-02-17
50s,3972588,1377.0,2023-02-17,2023-02-17
60s,3319500,3844.0,2023-02-17,2023-02-17
70s,1696070,7669.0,2023-02-17,2023-02-17
over_80s,1033128,20188.0,2023-02-17,2023-02-17
under_10s,3090456,37.0,2023-02-16,2023-02-16
10s,3781358,22.0,2023-02-16,2023-02-16
20s,4426902,79.0,2023-02-16,2023-02-16
30s,4448340,157.0,2023-02-16,2023-02-16
40s,4633614,458.0,2023-02-16,2023-02-16
50s,3971017,1376.0,2023-02-16,2023-02-16
60s,3317921,3840.0,2023-02-16,2023-02-16
70s,1695109,7661.0,2023-02-16,2023-02-16
over_80s,1032503,20174.0,2023-02-16,2023-02-16
under_10s,3089713,37.0,2023-02-15,2023-02-15
10s,3780316,22.0,2023-02-15,2023-02-15
20s,4425104,79.0,2023-02-15,2023-02-15
30s,4446329,157.0,2023-02-15,2023-02-15
40s,4631703,458.0,2023-02-15,2023-02-15
50s,3969320,1376.0,2023-02-15,2023-02-15
60s,3316261,3835.0,2023-02-15,2023-02-15
70s,1694148,7657.0,2023-02-15,2023-02-15
over_80s,1031807,20161.0,2023-02-15,2023-02-15
under_10s,3088832,37.0,2023-02-14,2023-02-14
10s,3779007,22.0,2023-02-14,2023-02-14
20s,4423071,79.0,2023-02-14,2023-02-14
30s,4444024,157.0,2023-02-14,2023-02-14
40s,4629461,457.0,2023-02-14,2023-02-14
50s,3967260,1376.0,2023-02-14,2023-02-14
60s,3314329,3834.0,2023-02-14,2023-02-14
