age,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
20s,2322600,47,2022-04-15,17576.0,0.7567381382932921,133.004295186429
20s,2336964,47,2022-04-16,14364.0,0.6146436145357823,88.28740879191977
20s,2348157,48,2022-04-17,11193.0,0.4766717046602932,53.353863902626614
20s,2354278,48,2022-04-18,6121.0,0.2599947839634911,15.914280726405291
20s,2369690,48,2022-04-19,15412.0,0.6503804295076571,100.23663179572011
20s,2385043,50,2022-04-20,15353.0,0.6437200503303294,98.83033932721548
20s,2398089,50,2022-04-21,13046.0,0.5440165064766154,70.97239343493924
20s,2409382,50,2022-04-22,11293.0,0.4687094034901896,52.931352936147114
20s,2419483,50,2022-04-23,10101.0,0.41748588438108475,42.170249181333375
20s,2427844,50,2022-04-24,8361.0,0.3443796224139607,28.793580230031253
20s,2432486,51,2022-04-25,4642.0,0.1908335751983773,8.858494560708674
20s,2443522,51,2022-04-26,11036.0,0.45164316097829277,49.843339245564394
20s,2454489,52,2022-04-27,10967.0,0.44681398042525344,49.00208923323755
20s,2463264,52,2022-04-28,8775.0,0.3562346545071905,31.259590933005967
20s,2470938,52,2022-04-29,7674.0,0.31057031783071853,23.83316619032934
20s,2477181,52,2022-04-30,6243.0,0.2520203408632635,15.733629880093542
20s,2482423,52,2022-05-01,5242.0,0.21116465646668597,11.069251291983678
20s,2485258,54,2022-05-02,2835.0,0.11407266368320713,3.2339600154189223
20s,2492721,54,2022-05-03,7463.0,0.2993917088996322,22.343603235179547
20s,2500299,55,2022-05-04,7578.0,0.3030837511833585,22.967686664674908
20s,2507063,55,2022-05-05,6764.0,0.2697977673476893,18.249120983397702
20s,2511385,55,2022-05-06,4322.0,0.17209627357016147,7.438000943702378
20s,2517628,55,2022-05-07,6243.0,0.24797150333567947,15.48086095324647
20s,2523607,55,2022-05-08,5979.0,0.23692278552088342,14.165613346293618
20s,2526838,55,2022-05-09,3231.0,0.1278673187596514,4.1313930691243375
20s,2535119,56,2022-05-10,8281.0,0.3266513327382265,27.049996864052538
20s,2542896,56,2022-05-11,7777.0,0.3058324052576275,23.784586156885688
20s,2549491,56,2022-05-12,6595.0,0.2586790853546845,17.05988567914144
20s,2555212,57,2022-05-13,5721.0,0.2238953167095333,12.809051068952401
20s,2560223,57,2022-05-14,5011.0,0.19572513800555652,9.807786665458437
20s,2564205,57,2022-05-15,3982.0,0.1552917960927461,6.183719320413149
20s,2566478,58,2022-05-16,2273.0,0.08856495165748547,2.0130813511746446
20s,2572745,58,2022-05-17,6267.0,0.2435919611154623,15.265908203106024
20s,2578427,58,2022-05-18,5682.0,0.22036691362602082,12.521248032230503
20s,2583739,58,2022-05-19,5312.0,0.20559352163666686,10.921127869339744
20s,2588620,58,2022-05-20,4881.0,0.18855606462130403,9.20342151416585
20s,2592996,58,2022-05-21,4376.0,0.16876231201282224,7.385038773681101
20s,2596265,58,2022-05-22,3269.0,0.12591164615322395,4.116051712748891
20s,2598084,58,2022-05-23,1819.0,0.07001313275475311,1.2735388848089593
20s,2602884,58,2022-05-24,4800.0,0.18441083044807222,8.851719861507467
20s,2607713,59,2022-05-25,4829.0,0.18518142142175922,8.942410840456752
20s,2611624,59,2022-05-26,3911.0,0.1497535633000769,5.856861860666007
20s,2614941,59,2022-05-27,3317.0,0.12684798624519633,4.207547703753162
20s,2617774,59,2022-05-28,2833.0,0.10822171814679189,3.0659212750986145
20s,2620118,59,2022-05-29,2344.0,0.08946161966751116,2.096980365006462
20s,2621321,59,2022-05-30,1203.0,0.04589289140856843,0.5520914836450782
20s,2624919,59,2022-05-31,3598.0,0.13707089628289482,4.931810848258555
